strain	cluster
USA/WA-UW-3511/2020	1
USA/WA-S343/2020	2
USA/WA-UW-1255/2020	3
USA/WA-UW301/2020	4
USA/WA-UW330/2020	5
USA/WA-S278/2020	6
USA/WA-S262/2020	6
USA/WA-UW-2228/2020	7
USA/WA-NIH-WA1/2020	8
USA/WA-QDX-62/2020	9
USA/WA-S1377/2020	9
USA/WA-UW371/2020	10
USA/WA-UW172/2020	10
USA/WA-S151/2020	10
USA/WA-UW341/2020	10
USA/WA-UW-1765/2020	10
USA/WA-UW176/2020	10
USA/WA-S147/2020	10
USA/WA-UW127/2020	10
USA/WA-UW-1128/2020	10
USA/WA-S41/2020	11
USA/WA-UW277/2020	12
USA/WA-UW391/2020	13
USA/WA-UW-1304/2020	14
USA/WA-UW321/2020	15
USA/WA-S31/2020	15
USA/WA-S60/2020	15
USA/WA-S64/2020	15
USA/WA-UW-1158/2020	15
USA/WA-UW38/2020	15
USA/WA-UW163/2020	15
USA/WA-S252/2020	15
USA/WA-S290/2020	15
USA/WA-S245/2020	15
USA/WA-S27/2020	15
USA/WA-UW-517/2020	15
USA/WA-UW255/2020	15
USA/WA-UW-1588/2020	15
USA/WA-UW-251/2020	15
USA/WA-UW-1731/2020	15
USA/WA-UW27/2020	15
USA/WA-S120/2020	15
USA/WA-UW-1280/2020	15
USA/WA-UW-1538/2020	15
USA/WA-QDX-104/2020	15
USA/WA-UW-6164/2020	15
USA/WA-UW-683/2020	15
USA/WA-S35/2020	15
USA/WA-UW188/2020	15
USA/WA-S244/2020	15
USA/WA-UW-3992/2020	15
USA/WA-UW156/2020	15
USA/WA-S143/2020	15
USA/WA-UW64/2020	15
USA/WA-QDX-528/2020	15
USA/WA-UW-201/2020	15
USA/WA-CDC-8374/2020	15
USA/WA-UW-687/2020	15
USA/WA-S154/2020	15
USA/WA-UW162/2020	15
USA/WA-S14/2020	15
USA/WA-S49/2020	15
USA/WA-S94/2020	15
USA/WA-S243/2020	15
USA/WA-UW245/2020	15
USA/WA-UW202/2020	15
USA/WA-S33/2020	15
USA/WA-UW-2909/2020	15
USA/WA-CDC-8380/2020	15
USA/WA-UW50/2020	15
USA/WA-S17/2020	15
USA/WA-S25/2020	15
USA/WA-UW142/2020	15
USA/WA-S113/2020	15
USA/WA-S119/2020	15
USA/WA-S87/2020	15
USA/WA7-UW4/2020	15
USA/WA-S233/2020	15
USA/WA-S247/2020	15
USA/WA-UW-2053/2020	15
USA/WA-UW114/2020	15
USA/WA-S349/2020	15
USA/WA-UW-3012/2020	15
USA/WA-S297/2020	15
USA/WA-UW261/2020	15
USA/WA-UW-696/2020	15
USA/WA-UW148/2020	15
USA/WA-S291/2020	15
USA/WA-UW212/2020	15
USA/WA-UW228/2020	15
USA/WA-UW-1850/2020	15
USA/WA-S153/2020	15
USA/WA-S152/2020	15
USA/WA-S67/2020	15
USA/WA-S68/2020	15
USA/WA-S81/2020	15
USA/WA-S272/2020	15
USA/WA-UW-1785/2020	15
USA/WA-UW199/2020	15
USA/WA-UW-1718/2020	15
USA/WA-UW32/2020	15
USA/WA-S114/2020	15
USA/WA-S104/2020	15
USA/WA-UW19/2020	15
USA/WA-UW-1684/2020	15
USA/WA-UW-7006/2020	15
USA/WA-UW-6822/2020	15
USA/WA-UW-3600/2020	15
USA/WA-UW-3607/2020	15
USA/WA-QDX-2291/2020	15
USA/WA-UW218/2020	15
USA/WA-QDX-2242/2020	15
USA/WA-S275/2020	15
USA/WA-UW309/2020	15
USA/WA-UW318/2020	15
USA/WA-UW-1465/2020	15
USA/WA-S62/2020	15
USA/WA-SFS-S2855/2020	15
USA/WA12-UW8/2020	15
USA/WA-S83/2020	15
USA/WA-S273/2020	15
USA/WA-UW47/2020	15
USA/WA-UW80/2020	15
USA/WA-S37/2020	15
USA/WA-UW66/2020	15
USA/WA-S97/2020	15
USA/WA-S30/2020	15
USA/WA-S95/2020	15
USA/WA-S96/2020	15
USA/WA-S700/2020	15
USA/WA-UW-354/2020	15
USA/WA-UW-3940/2020	15
USA/WA-UW314/2020	15
USA/WA-UW-571/2020	15
USA/WA-UW85/2020	15
USA/WA-UW-1426/2020	15
USA/WA-UW242/2020	15
USA/WA-UW200/2020	15
USA/WA-UW-896/2020	15
USA/WA-UW216/2020	15
USA/WA-UW-864/2020	15
USA/WA-UW34/2020	15
USA/WA-UW132/2020	15
USA/WA-UW-4583/2020	15
USA/WA-UW-4630/2020	15
